ER66001,ER66002,ER67883,ER70882,ER71485,ER71570,ER71571
2,5620,0,1,2000,52.128,34969.088
2,8559,0,1,83000,36.793,25362.492
2,6510,0,1,0,21.515,17455.295
2,9172,0,1,1000,21.098,12348.974
2,7682,0,1,2500,13.824,11064.192
2,9421,0,1,-2000,18.035,12773.108
2,6393,0,1,-95000,8.918,8996.506
2,4293,0,1,6000,12.05,9051.91
2,8691,0,1,12000,8.513,5105.108
2,8276,0,1,483000,30.827,23051.1
2,3859,0,1,102000,34.874,27177.059
2,4162,0,1,14500,8.768,8412.072
2,3894,0,1,78350,33.077,15560.506
2,4308,0,1,37800,4.841,3929.206
2,4039,0,1,154200,38.538,28061.528
2,4043,0,1,2767000,27.556,9222.827
2,9110,0,1,139000,17.159,7629.147
2,7810,0,1,361000,15.358,7534.224
2,8286,0,1,2850000,16.863,9986.579
2,5702,0,1,214500,30.751,7575.004
2,4056,0,1,178600,33.61,13115.643
2,6322,0,1,160500,16.244,10648.948
2,3802,0,1,500,72.187,50535.404
2,4360,0,1,0,58.77,28599.181
2,3831,0,1,18129,19.121,8831.821
2,4371,0,1,4515,12.813,6076.479
2,4984,0,1,0,37.343,14449.323
2,4348,0,1,-31600,19.313,13807.286
2,5898,0,1,-5500,21.417,12888.63
2,7924,0,1,16800,34.4,23704.836
2,5735,0,1,12600,18.762,10486.19
2,5069,0,1,26500,17.179,12166.855
2,4139,0,1,28000,18.608,14014.595
2,9038,0,1,64800,15.146,4445.932
2,4261,0,1,-50000,40.484,18856.636
2,3854,0,1,0,18.371,10819.654
2,6798,0,1,10300,14.305,8973.861
2,5140,0,1,0,17.279,9336.467
2,4769,0,1,300,18.4,10259.043
2,4690,0,1,123000,17.717,8254.271
2,4596,0,1,0,9.495,7092.221
2,5879,0,1,24800,12.237,5701.361
2,4873,0,1,2800,12.031,7304.599
2,5233,0,1,800,9.513,6485.787
2,1119,0,2,93700,11.7,4056.93
2,1458,0,2,-6000,6.05,4048.787
2,1478,0,2,3400,10.935,4829.126
2,1151,0,2,-3500,6.225,2946.359
2,1173,0,2,-60000,5.419,2993.897
2,1744,0,2,7000,2.347,1510.46
2,1510,0,2,325000,2.69,1509.972
2,1566,0,2,50,1.733,884.79
2,214,0,1,203430,73.404,41497.908
2,503,0,1,1465000,66.073,36319.906
2,3808,0,1,314000,73.846,58588.845
2,3820,0,1,32000,77.337,34558.983
2,3838,0,1,1465000,36.292,22136.714
2,1223,0,1,57000,36.325,29776.855
2,2521,0,1,121700,11.396,7018.439
2,2400,0,1,-2500,18.652,6256.841
2,1723,0,7,22000,34.864,26800.268
2,1371,0,3,927000,35.724,17496.842
2,1669,0,1,40900,17.366,11682.498
2,6042,0,1,85,57.083,23621.007
2,7511,0,1,-51500,71.252,30917.266
2,5223,0,1,-2880,20.88,16871.765
2,9035,0,1,415000,41.862,34874.354
2,7548,0,1,3000,15.509,9376.347
2,6436,0,3,0,42.087,28158.878
2,5969,0,1,146000,18.438,11434.407
2,4188,0,1,1400,73.396,41493.386
2,5520,0,1,89000,24.031,18625.168
2,3992,0,1,1800000,29.404,19816.266
2,4364,0,1,147000,69.662,40898.744
2,3818,0,1,150000,56.314,30955.172
2,4401,0,1,399400,19.157,14690.962
2,9570,0,1,473000,10.85,9443.561
2,5861,0,9,9,16.285,8062.006
2,8610,0,1,30800,3.534,2108.983
2,7631,0,1,103000,17.094,10600.621
